"filename", "language", "JavaScript React", "comment", "blank", "total"
"/home/wyl/Desktop/github_visualize/src/pages/AnalyzePage/index.jsx", "JavaScript React", 338, 0, -3, 335
"Total", "-", 338, 0, -3, 335
